Algorithm            Matrix                         Blocks TPB    Time(ms)   Bandwidth    FLOPS     
SpMV-GPU-sequential  CurlCurl_4.mtx                 32     1024   5.442744   0.046558     0.005309  
SpMV-GPU-sequential  cvxqp3.mtx                     32     1024   0.011407   0.114610     0.012269  
SpMV-GPU-sequential  cyl6.mtx                       32     1024   0.018216   0.325947     0.039960  
SpMV-GPU-sequential  human_gene2.mtx                32     1024   0.632704   0.228828     0.028580  
SpMV-GPU-sequential  lhr10.mtx                      32     1024   0.011189   0.341059     0.041582  
SpMV-GPU-sequential  mawi_201512012345.mtx          32     1024   14.525828  0.035924     0.002619  
SpMV-GPU-sequential  rajat31.mtx                    32     1024   2.220646   0.167189     0.018298  
SpMV-GPU-sequential  spmsrtls.mtx                   32     1024   0.013230   0.179506     0.019648  
SpMV-GPU-sequential  af23560.mtx                    4      1024   0.652677   0.012178     0.001484  
SpMV-GPU-sequential  af_shell8.mtx                  4      1024   12.130468  0.012284     0.001492  
SpMV-GPU-sequential  CurlCurl_4.mtx                 4      1024   17.805722  0.014232     0.001623  
SpMV-GPU-sequential  cvxqp3.mtx                     4      1024   0.085012   0.015379     0.001646  
SpMV-GPU-sequential  cyl6.mtx                       4      1024   0.156745   0.037880     0.004644  
SpMV-GPU-sequential  human_gene2.mtx                4      1024   4.240985   0.034138     0.004264  
SpMV-GPU-sequential  lhr10.mtx                      4      1024   0.212255   0.017979     0.002192  
SpMV-GPU-sequential  mawi_201512012345.mtx          4      1024   23.097139  0.022593     0.001647  
SpMV-GPU-sequential  rajat31.mtx                    4      1024   21.339730  0.017398     0.001904  
SpMV-GPU-sequential  spmsrtls.mtx                   4      1024   0.182313   0.013026     0.001426  
SpMV-GPU-sequential  af23560.mtx                    64     1024   0.043684   0.181955     0.022171  
SpMV-GPU-sequential  af_shell8.mtx                  64     1024   4.010127   0.037160     0.004512  
SpMV-GPU-sequential  CurlCurl_4.mtx                 64     1024   9.332367   0.027153     0.003096  
SpMV-GPU-sequential  cvxqp3.mtx                     64     1024   0.010650   0.122764     0.013142  
SpMV-GPU-sequential  cyl6.mtx                       64     1024   0.028652   0.207233     0.025406  
SpMV-GPU-sequential  human_gene2.mtx                64     1024   2.776064   0.052153     0.006514  
SpMV-GPU-sequential  lhr10.mtx                      64     1024   0.008282   0.460799     0.056181  
SpMV-GPU-sequential  mawi_201512012345.mtx          64     1024   26.736906  0.019517     0.001423  
SpMV-GPU-sequential  rajat31.mtx                    64     1024   2.221287   0.167141     0.018292  
SpMV-GPU-sequential  spmsrtls.mtx                   64     1024   0.004774   0.497486     0.054452  
SpMV-GPU-sequential  af23560.mtx                    8      1024   0.279675   0.028420     0.003463  
SpMV-GPU-sequential  af_shell8.mtx                  8      1024   7.388058   0.020170     0.002449  
